timestamp,fault_type,fault_mechanism,severity,duration_ms,status,is_operational_transient
654.5454545454545,incipient,terminal,0.1,0.0,injected,False
1309.090909090909,incipient,terminal,0.2,0.0,injected,False
1963.6363636363637,incipient,terminal,0.3,0.0,injected,False
2618.181818181818,developing,terminal,0.4,0.0,injected,False
3272.7272727272725,developing,terminal,0.5,0.0,injected,False
3927.2727272727275,developing,terminal,0.6,0.0,injected,False
4581.818181818182,critical,terminal,0.7,0.0,injected,False
5236.363636363636,critical,terminal,0.8,0.0,injected,False
5890.909090909091,critical,terminal,0.9,0.0,injected,False
6545.454545454545,critical,terminal,1.0,0.0,injected,False
