timestamp,fault_type,fault_mechanism,severity,duration_ms,status,is_operational_transient
81.1,critical,capacitor,0.7113672603160355,0.0,injected,False
97.4,incipient,capacitor,0.16239745338450248,0.0,injected,False
226.1,developing,thyristor,0.449095610993382,0.0,injected,False
479.8,incipient,thyristor,0.3758698797324631,0.0,injected,False
540.1,critical,thyristor,0.7744210400995261,0.0,injected,False
551.1,developing,capacitor,0.6902050469096694,0.0,injected,False
565.8,developing,terminal,0.5308465925681509,0.0,injected,False
573.9,incipient,terminal,0.15624409924194965,0.0,injected,False
580.3,critical,thyristor,0.7170834879189462,0.0,injected,False
773.8,developing,terminal,0.6532075641114797,0.0,injected,False
777.6,developing,terminal,0.48660932673512114,0.0,injected,False
789.9,developing,thyristor,0.44626735386831495,0.0,injected,False
820.3,incipient,capacitor,0.15228133284145218,0.0,injected,False
828.4,incipient,terminal,0.2640870547651262,0.0,injected,False
845.3,developing,thyristor,0.6665490537748264,0.0,injected,False
850.0,developing,capacitor,0.5760508044097997,0.0,injected,False
861.6,incipient,terminal,0.30517145654440486,0.0,injected,False
875.0,critical,thyristor,0.8002776394567815,0.0,injected,False
1022.7,incipient,capacitor,0.36730096557243674,0.0,injected,False
1095.8,incipient,thyristor,0.16042249381691623,0.0,injected,False
1159.6,developing,thyristor,0.40569490010127707,0.0,injected,False
1169.1,critical,terminal,0.7319714161438609,0.0,injected,False
1199.4,developing,terminal,0.49760288297477073,0.0,injected,False
1326.0,critical,thyristor,0.744826024476704,0.0,injected,False
1374.9,incipient,thyristor,0.1839641895938268,0.0,injected,False
1422.6,critical,capacitor,0.825403014492662,0.0,injected,False
1431.8,incipient,capacitor,0.1743699487136749,0.0,injected,False
1442.4,developing,thyristor,0.4923475469669737,0.0,injected,False
1470.6,incipient,terminal,0.33190060758954354,0.0,injected,False
1524.0,incipient,thyristor,0.3662844718365095,0.0,injected,False
1552.5,developing,terminal,0.5264735029822384,0.0,injected,False
1558.4,developing,capacitor,0.6051534711910073,0.0,injected,False
1668.7,incipient,thyristor,0.15921634215670386,0.0,injected,False
1680.3,critical,terminal,0.8920093358774449,0.0,injected,False
1690.4,developing,capacitor,0.5168917382777086,0.0,injected,False
1716.1,developing,capacitor,0.6208483464051857,0.0,injected,False
1774.0,critical,capacitor,0.8857118406111399,0.0,injected,False
1792.5,developing,thyristor,0.478091943479912,0.0,injected,False
