timestamp,fault_type,severity
2026-02-22 23:18:10.696526,Under-voltage,1
2026-02-22 23:20:12.696526,Over-voltage,3
2026-02-22 23:26:52.296526,Under-voltage,3
2026-02-22 23:30:12.896526,Under-voltage,3
2026-02-22 23:36:25.696526,Under-voltage,3
2026-02-22 23:37:55.496526,Over-voltage,3
2026-02-22 23:41:51.896526,Over-voltage,2
2026-02-22 23:41:52.496526,Over-voltage,3
2026-02-22 23:42:12.196526,Over-voltage,2
2026-02-22 23:43:22.796526,Over-voltage,2
2026-02-22 23:45:39.096526,Over-voltage,1
2026-02-22 23:46:27.096526,Over-voltage,2
2026-02-22 23:51:19.296526,Over-voltage,1
2026-02-22 23:51:43.896526,Under-voltage,3
2026-02-22 23:54:32.096526,Over-voltage,2
2026-02-22 23:55:47.996526,Over-voltage,2
2026-02-22 23:59:50.096526,Under-voltage,1
2026-02-23 00:00:10.296526,Over-voltage,1
2026-02-23 00:01:42.796526,Under-voltage,2
2026-02-23 00:06:33.396526,Over-voltage,1
2026-02-23 00:11:33.996526,Over-voltage,1
2026-02-23 00:13:00.296526,Over-voltage,1
2026-02-23 00:19:09.996526,Under-voltage,3
2026-02-23 00:21:56.996526,Under-voltage,3
2026-02-23 00:25:15.496526,Under-voltage,2
2026-02-23 00:26:11.296526,Over-voltage,3
2026-02-23 00:40:40.496526,Under-voltage,1
2026-02-23 00:40:42.596526,Under-voltage,2
2026-02-23 00:43:42.896526,Over-voltage,1
2026-02-23 00:46:47.196526,Over-voltage,3
2026-02-23 00:49:16.096526,Over-voltage,2
2026-02-23 00:52:37.596526,Under-voltage,3
2026-02-23 00:56:10.796526,Over-voltage,2
2026-02-23 00:59:41.696526,Under-voltage,3
2026-02-23 01:03:21.996526,Over-voltage,1
2026-02-23 01:04:14.096526,Over-voltage,2
2026-02-23 01:04:49.196526,Under-voltage,2
2026-02-23 01:05:25.796526,Over-voltage,3
2026-02-23 01:06:59.696526,Under-voltage,2
2026-02-23 01:07:22.396526,Under-voltage,3
2026-02-23 01:09:00.496526,Over-voltage,2
2026-02-23 01:10:06.896526,Under-voltage,1
2026-02-23 01:13:00.096526,Under-voltage,1
2026-02-23 01:13:23.996526,Over-voltage,3
2026-02-23 01:16:20.396526,Over-voltage,2
