timestamp,fault_type,severity
2026-02-22 23:17:24.777580,Under-voltage,2
2026-02-22 23:18:58.277580,Under-voltage,3
2026-02-22 23:21:37.277580,Under-voltage,1
2026-02-22 23:25:26.777580,Over-voltage,2
2026-02-22 23:25:45.077580,Under-voltage,2
2026-02-22 23:30:43.377580,Under-voltage,3
2026-02-22 23:38:23.277580,Under-voltage,2
2026-02-22 23:38:55.277580,Under-voltage,3
2026-02-22 23:39:22.877580,Under-voltage,3
2026-02-22 23:40:26.377580,Under-voltage,2
2026-02-22 23:48:39.277580,Under-voltage,1
2026-02-22 23:51:44.377580,Over-voltage,1
2026-02-22 23:54:26.177580,Under-voltage,1
2026-02-22 23:59:51.777580,Under-voltage,3
2026-02-23 00:03:07.177580,Over-voltage,1
2026-02-23 00:05:00.677580,Under-voltage,2
2026-02-23 00:06:14.177580,Over-voltage,3
2026-02-23 00:06:49.477580,Under-voltage,2
2026-02-23 00:12:59.177580,Under-voltage,1
2026-02-23 00:13:22.577580,Over-voltage,1
2026-02-23 00:27:29.377580,Under-voltage,2
2026-02-23 00:27:46.077580,Over-voltage,3
2026-02-23 00:31:53.977580,Under-voltage,3
2026-02-23 00:40:22.277580,Over-voltage,2
2026-02-23 00:45:39.177580,Under-voltage,3
2026-02-23 00:47:00.577580,Under-voltage,3
2026-02-23 00:54:49.277580,Over-voltage,3
2026-02-23 00:58:31.177580,Under-voltage,1
2026-02-23 00:58:45.077580,Under-voltage,3
2026-02-23 00:59:39.477580,Under-voltage,2
2026-02-23 01:10:39.077580,Under-voltage,3
2026-02-23 01:11:30.277580,Over-voltage,2
2026-02-23 01:13:48.977580,Under-voltage,3
2026-02-23 01:14:27.677580,Under-voltage,1
