timestamp,fault_type,severity
2026-02-22 23:16:53.603593,Over-voltage,2
2026-02-22 23:18:09.903593,Over-voltage,1
2026-02-22 23:29:43.203593,Under-voltage,3
2026-02-22 23:30:01.503593,Under-voltage,3
2026-02-22 23:30:10.603593,Over-voltage,2
2026-02-22 23:43:54.503593,Under-voltage,1
2026-02-22 23:44:11.403593,Over-voltage,3
2026-02-22 23:44:44.003593,Under-voltage,3
2026-02-22 23:46:34.003593,Over-voltage,1
2026-02-22 23:48:57.703593,Under-voltage,2
2026-02-22 23:50:37.803593,Under-voltage,1
2026-02-22 23:52:05.103593,Over-voltage,3
2026-02-22 23:56:22.403593,Under-voltage,2
2026-02-22 23:57:09.503593,Over-voltage,3
2026-02-23 00:00:46.003593,Over-voltage,3
2026-02-23 00:02:47.303593,Over-voltage,3
2026-02-23 00:07:36.803593,Under-voltage,2
2026-02-23 00:09:27.303593,Under-voltage,1
2026-02-23 00:12:57.703593,Under-voltage,2
2026-02-23 00:14:44.303593,Over-voltage,1
2026-02-23 00:15:20.903593,Over-voltage,3
2026-02-23 00:15:27.503593,Over-voltage,2
2026-02-23 00:17:07.503593,Over-voltage,1
2026-02-23 00:18:56.103593,Over-voltage,1
2026-02-23 00:28:43.903593,Over-voltage,2
2026-02-23 00:42:30.703593,Under-voltage,1
2026-02-23 00:42:38.103593,Over-voltage,3
2026-02-23 00:47:28.903593,Under-voltage,3
2026-02-23 00:48:59.003593,Under-voltage,2
2026-02-23 00:51:14.903593,Over-voltage,3
2026-02-23 00:52:34.103593,Over-voltage,2
2026-02-23 00:54:13.003593,Under-voltage,3
2026-02-23 00:55:47.903593,Under-voltage,1
2026-02-23 01:05:06.503593,Over-voltage,1
2026-02-23 01:07:17.203593,Over-voltage,1
2026-02-23 01:11:30.203593,Under-voltage,3
2026-02-23 01:16:39.203593,Under-voltage,3
